Puntaje crediticio,Ingresos mensuales (USD),Monto del préstamo (USD),¿Default/No default?
2.2,2249.8,39477.6,1
2.9,6027.0,35683.1,0
7.1,3875.4,36811.7,1
5.5,5868.7,39794.6,0
2.5,4672.0,47828.3,1
6.8,2482.7,45170.9,1
1.7,1934.3,43306.2,1
3.0,6342.6,31865.0,0
1.6,6642.5,32244.3,0
3.4,4396.1,28071.5,0
0.1,1023.9,44238.7,1
2.9,4595.7,33443.4,0
2.1,679.0,41278.3,1
0.7,6097.8,25623.0,0
4.1,4966.0,40528.2,0
6.1,520.3,46470.7,1
3.4,6945.2,40085.0,0
2.8,4616.1,38108.9,0
3.7,1746.7,38431.1,1
7.4,1350.7,42657.2,1
1.1,6229.1,30263.8,0
4.8,6575.9,28883.9,0
0.2,568.5,37371.6,1
0.5,4875.8,38903.8,0
1.0,6207.3,25299.3,0
4.1,1810.2,48198.1,1
2.0,3923.6,49474.9,1
3.8,352.7,48019.7,1
1.9,4492.4,31674.4,0
4.6,4406.5,31833.0,0
1.1,4438.2,39110.1,0
2.1,1918.5,47653.5,1
2.2,6541.9,35970.8,0
1.7,3759.3,45861.5,1
5.2,5423.0,35684.5,0
3.5,6888.8,28780.4,0
2.8,5360.1,20130.1,0
6.2,2849.6,44235.9,1
1.0,291.7,43449.9,1
2.3,4200.8,34799.2,0
5.7,3209.4,37246.5,1
0.3,3014.9,39924.3,1
3.1,6536.1,41761.2,0
1.6,769.5,37146.9,1
5.4,3754.7,45939.1,1
0.1,6856.1,22952.0,0
0.6,4283.7,20586.3,0
0.4,6195.5,26132.7,0
3.0,3718.3,42366.2,1
1.4,2848.3,46238.0,1
3.2,6371.0,40962.6,0
5.1,3122.5,42213.4,1
6.1,3384.9,39587.1,1
1.6,5656.6,41265.8,0
4.0,5754.1,20667.4,0
4.2,6581.1,23245.1,0
4.2,5076.2,32383.1,0
6.4,3032.5,36471.2,1
0.4,5789.8,28649.4,0
2.4,3929.5,40497.6,1
5.0,4595.6,23078.2,0
3.1,2187.9,47400.5,1
4.4,5158.6,22472.4,0
1.6,6536.9,38764.4,0
5.2,4496.0,40943.5,1
2.8,5686.2,32813.6,0
4.3,6724.1,34122.9,0
0.9,4836.4,34644.3,0
5.8,1055.0,46658.3,1
5.7,4671.5,49245.5,1
1.0,3486.6,47021.8,1
4.1,3378.9,38113.0,1
0.9,4483.1,39592.1,0
2.8,4653.4,38031.6,0
0.2,5625.4,23155.2,0
2.3,1873.0,43443.1,1
0.6,4405.7,33649.9,0
3.6,2653.4,49877.4,1
5.5,5351.0,28899.7,0
2.4,5465.0,26512.2,0
4.5,4575.8,49697.8,1
1.2,5706.7,25001.0,0
1.8,4559.5,27333.6,0
1.6,6672.6,39819.3,0
1.1,5044.7,33157.3,0
2.1,4051.5,46626.4,1
2.6,5893.0,30489.1,0
2.4,3098.8,36444.6,1
2.4,5812.6,25723.2,0
1.8,6968.9,36910.4,0
2.5,272.2,45578.6,1
5.1,5388.2,20643.9,0
6.6,2442.8,37161.1,1
2.1,4372.7,23411.3,0
1.8,5553.1,32664.8,0
3.3,5233.6,40420.8,0
6.2,4585.3,47901.0,1
6.6,4080.5,36828.1,1
0.2,6113.8,21491.3,0
2.2,4629.2,40413.0,0
6.3,1360.4,48601.7,1
3.6,4913.7,33319.1,0
2.9,4403.7,34567.6,0
2.4,5502.4,27520.4,0
4.0,6474.6,26692.7,0
1.8,2635.5,49448.4,1
5.6,3325.5,36616.8,1
1.4,4031.3,45248.7,1
4.6,5358.1,36484.5,0
0.3,810.2,37894.8,1
1.6,425.6,41029.0,1
2.4,1677.2,38972.3,1
6.4,4714.1,39769.2,1
3.0,4379.4,20362.2,0
4.4,3500.1,41550.7,1
2.0,1063.5,49991.1,1
1.8,732.4,47412.9,1
5.2,4599.9,41274.3,0
4.3,4877.4,39377.1,0
4.1,4663.0,43252.5,1
4.5,5432.4,39301.2,0
3.4,5373.9,34513.7,0
4.3,2814.0,40574.4,1
0.2,6839.9,41453.3,0
3.9,6725.3,32696.4,0
3.3,6512.9,36577.3,0
1.7,1190.5,39994.4,1
2.4,6645.9,29529.1,0
4.9,6044.5,23816.4,0
0.7,6111.1,23421.7,0
1.5,4967.1,37644.6,0
2.3,4226.8,34793.9,0
5.2,2523.0,37186.5,1
0.5,5980.9,33198.2,0
2.9,6521.3,37256.0,0
1.5,4590.9,44149.4,1
4.8,5183.9,23014.5,0
0.1,2785.6,41664.7,1
3.7,5640.0,32062.5,0
1.7,4405.7,29738.2,0
0.8,5838.6,26854.4,0
6.1,3558.0,43849.5,1
0.9,5963.9,25982.5,0
5.3,1803.8,48287.5,1
0.3,49.5,49908.1,1
2.4,518.8,42677.3,1
3.0,5622.9,21787.5,0
2.3,6174.7,35932.7,0
3.6,6446.2,27789.7,0
4.8,4812.8,20486.4,0
0.6,3412.6,46968.1,1
2.7,6560.4,28515.9,0
2.4,6507.5,38284.2,0
3.9,5812.3,28789.0,0
3.1,4321.9,31033.5,0
1.5,3246.6,36297.6,1
5.2,5222.4,37665.2,0
2.1,6119.5,40273.9,0
3.4,5725.5,29409.2,0
2.1,6724.5,24874.2,0
2.5,2202.9,43369.0,1
2.9,5586.1,25947.6,0
2.8,872.8,47655.6,1
6.6,4732.2,40754.2,1
6.8,1388.6,46953.6,1
3.3,2625.7,41450.5,1
1.9,193.9,38487.8,1
6.6,2996.8,38749.0,1
2.5,1101.1,40099.5,1
3.2,425.4,47928.8,1
1.1,6261.5,37801.0,0
6.5,3615.5,48226.9,1
3.2,6500.3,41750.4,0
2.0,3086.2,38646.3,1
5.3,5515.0,22584.5,0
6.7,4369.1,42190.3,1
5.8,2995.6,47228.6,1
0.0,4359.7,42722.5,1
4.1,3527.5,36484.6,1
2.6,4083.7,45090.2,1
2.7,2181.3,47453.5,1
4.6,1016.4,42362.4,1
3.5,889.1,49002.0,1
1.6,6315.9,26569.3,0
4.4,6334.7,20777.0,0
5.0,2638.0,46084.7,1
2.3,6645.0,22136.9,0
0.7,4368.5,30252.7,0
0.6,4632.2,28923.3,0
6.6,713.3,40095.2,1
3.5,2964.7,41926.5,1
1.4,4701.0,35504.1,0
2.4,4958.4,28546.1,0
1.0,4749.1,47453.2,1
7.2,2851.5,45539.0,1
3.7,6831.4,20973.8,0
2.3,4272.5,34681.1,0
1.2,5531.3,20240.0,0
2.6,2984.0,46233.0,1
4.8,1642.7,44311.4,1
5.6,2565.3,38736.8,1
4.7,4238.9,40224.5,0
2.2,4210.4,39944.4,1
6.7,2204.8,48387.3,1
4.5,5698.9,38657.1,0
0.2,4354.4,27382.3,0
5.2,2523.5,47435.8,1
5.1,2171.1,46162.5,1
6.0,1746.2,42333.8,1
7.1,476.5,37929.1,1
1.1,6505.9,28303.5,0
2.8,1717.7,41301.4,1
3.4,258.9,39280.3,1
1.9,4523.2,26567.5,0
6.0,1652.4,38878.9,1
4.2,1608.5,43332.2,1
1.0,4855.7,30068.1,0
4.7,2325.3,40016.8,1
3.1,3260.9,38168.9,1
6.6,4538.4,47358.8,1
2.0,6908.5,28973.8,0
1.0,4368.3,39767.4,0
1.3,1986.8,41463.7,1
3.9,2841.3,40053.1,1
5.4,2667.5,48987.3,1
1.0,4404.6,37174.4,0
0.7,5432.9,36441.8,0
3.5,6194.9,29210.8,0
0.3,4437.7,28850.8,0
3.5,6567.0,40692.9,0
5.3,5925.7,34861.8,0
1.9,2055.8,36084.8,1
0.4,4465.6,30063.1,0
2.1,2204.8,37796.6,1
2.7,5741.4,26771.7,0
1.8,5699.0,41163.1,0
3.8,4729.4,29477.2,0
3.0,3899.0,38122.3,1
0.9,4608.2,42238.5,1
5.9,2287.7,42547.9,1
1.5,4497.5,42690.0,1
2.1,2476.5,41286.5,1
6.5,3524.1,45064.1,1
3.4,6317.4,30798.8,0
1.7,2837.7,41295.7,1
2.5,4539.7,25043.4,0
0.3,6442.7,29457.6,0
7.0,3417.6,43548.3,1
4.9,1616.4,48722.1,1
0.0,4519.0,37648.0,1
7.2,319.4,38142.2,1
3.9,4843.8,38812.5,0
2.9,5939.0,25660.1,0
4.3,2.3,36456.8,1
4.6,5101.9,33480.5,0
2.5,6863.8,34873.2,0
3.0,6507.3,21042.2,0
4.7,1822.8,41612.3,1
1.6,4224.6,39791.1,0
2.6,1385.3,44932.7,1
6.1,1320.2,41456.9,1
5.3,4137.0,42251.0,1
3.7,6960.8,40131.2,0
3.3,4477.1,23488.1,0
3.8,6831.6,28067.9,0
1.6,4529.4,25839.7,0
3.4,6515.4,22647.4,0
1.3,6763.6,34896.3,0
5.4,200.7,37457.5,1
4.3,6171.6,30129.6,0
3.3,4714.7,25246.4,0
2.7,2731.7,46189.7,1
2.8,1867.0,37355.8,1
2.1,863.6,41771.1,1
2.8,5891.7,29910.0,0
4.2,2173.5,41994.0,1
1.8,2769.7,44096.4,1
1.8,903.5,47432.3,1
2.2,4822.8,26302.2,0
6.4,3684.1,36926.3,1
5.6,2052.5,37895.2,1
4.5,2480.8,41768.8,1
3.1,2179.2,47057.5,1
2.3,5011.4,32341.9,0
7.4,3228.8,38020.2,1
1.0,6818.8,29243.2,0
2.3,1541.5,45135.1,1
2.5,1016.6,37921.8,1
1.5,4271.5,44769.6,1
0.9,5081.7,25012.4,0
4.3,4494.0,40765.0,0
3.6,3015.7,40488.9,1
4.8,4574.7,39823.4,0
7.4,715.6,43167.5,1
0.6,4583.0,22644.5,0
5.3,1807.1,48337.5,1
2.6,6948.5,25553.5,0
4.9,6784.5,29518.9,0
3.7,1078.8,38599.1,1
4.4,4838.9,23554.6,0
5.5,4817.9,36037.0,0
4.6,3506.2,44549.1,1
1.1,6243.5,38351.4,0
1.3,425.0,40059.5,1
2.4,6202.3,30046.0,0
1.4,5808.0,34799.0,0
0.6,6526.8,24513.2,0
5.8,2357.9,37513.0,1
5.4,5832.3,35636.8,0
7.5,504.5,44780.6,1
6.3,873.4,49614.6,1
0.8,185.1,45273.1,1
0.3,4555.9,39422.4,0
3.3,2535.2,48727.7,1
4.5,765.1,36440.8,1
4.3,6548.1,29971.1,0
3.8,3098.3,43553.2,1
2.0,4287.4,30707.5,0
0.9,5410.6,39162.3,0
0.3,4071.9,37041.2,1
1.1,6077.9,21213.1,0
0.2,311.6,37473.5,1
3.0,3869.4,45500.7,1
4.4,2451.6,48235.7,1
4.7,285.4,44698.8,1
2.2,4386.7,25781.6,0
2.0,5161.8,26326.9,0
2.4,1218.6,44663.8,1
4.9,6228.0,31337.7,0
6.3,1076.5,41252.7,1
3.6,6494.7,24682.9,0
3.2,5320.0,27068.4,0
0.4,6912.2,37448.4,0
2.1,3722.1,38560.3,1
1.6,4768.7,23875.1,0
4.8,4657.7,23725.4,0
0.7,4286.6,46055.7,1
3.3,579.7,38103.7,1
0.4,5387.6,38958.7,0
1.3,6816.0,21262.8,0
1.0,3870.7,36107.6,1
3.0,4776.3,36256.3,0
0.3,1332.4,39536.0,1
0.1,6799.0,26215.8,0
6.5,573.0,44949.0,1
4.4,2931.1,41194.9,1
0.0,3889.1,42368.0,1
1.3,4962.9,23619.2,0
6.7,2643.7,39006.2,1
3.9,6451.0,36118.4,0
1.0,5870.6,31327.1,0
4.6,6984.7,30399.5,0
5.0,5280.9,39267.9,0
1.8,3060.0,40200.0,1
4.4,4476.1,33413.3,0
4.3,2740.7,45018.4,1
1.9,4638.2,23975.9,0
5.8,168.8,43130.5,1
1.8,2979.5,47117.0,1
6.3,818.3,46731.5,1
0.9,4641.5,24769.3,0
0.6,5937.5,27273.7,0
3.9,4965.2,26711.0,0
0.3,4277.8,48049.4,1
3.8,5005.2,21056.6,0
5.5,772.6,39757.6,1
2.6,6126.9,20981.2,0
1.3,494.5,45821.7,1
6.1,1803.4,38227.2,1
4.5,4685.2,30621.5,0
5.2,5307.5,28528.5,0
0.4,4421.4,20479.3,0
4.0,6834.9,20503.6,0
0.5,695.3,43597.4,1
3.7,4851.6,33057.8,0
3.4,6229.2,29239.0,0
0.1,6076.6,26688.7,0
4.1,4746.2,20463.5,0
3.8,5826.1,39727.6,0
1.6,4420.7,23867.3,0
3.2,6220.7,41416.1,0
0.3,6884.6,40665.0,0
4.9,478.5,37794.6,1
2.1,4714.5,23283.5,0
3.3,5761.0,33518.0,0
7.3,3414.7,45984.9,1
0.0,6871.8,28575.4,0
2.3,6265.4,23391.2,0
7.1,2347.4,36849.1,1
1.7,6464.1,35419.0,0
4.9,6476.0,38220.0,0
4.8,4623.9,39877.7,0
1.3,4383.7,43614.9,1
1.4,4898.6,24570.9,0
3.1,1105.2,43133.0,1
5.4,2323.2,41388.6,1
2.6,5537.1,40816.7,0
0.9,6574.3,39899.2,0
5.6,652.1,44559.8,1
5.5,2253.4,49297.7,1
4.0,1491.1,48486.7,1
1.0,6262.9,24231.7,0
0.2,4752.7,35103.3,0
5.9,798.4,39405.0,1
0.5,1528.9,41406.6,1
0.1,2636.8,47228.8,1
2.7,4504.8,40894.5,1
3.9,3817.1,39564.5,1
2.4,5751.8,20524.5,0
4.1,3585.5,46418.4,1
1.2,6791.9,25198.7,0
0.0,4538.0,31224.0,0
3.0,5761.5,25670.6,0
7.3,4070.1,39377.0,1
1.4,3066.8,36229.3,1
6.4,4225.3,39320.6,1
1.8,4355.4,46079.3,1
0.2,5222.6,35403.8,0
0.9,4387.4,40082.1,0
7.0,3581.0,42012.1,1
3.5,6483.7,20246.6,0
1.3,5466.0,27149.1,0
0.3,3405.0,44376.8,1
5.8,284.0,48363.5,1
5.5,689.2,47574.0,1
2.6,1606.5,39682.1,1
2.1,2653.3,47608.4,1
4.9,2048.9,40813.0,1
0.6,4610.7,39545.2,1
3.3,4625.8,37167.3,1
5.0,6754.9,23869.3,0
5.9,3512.1,38212.3,1
4.6,3549.8,45490.8,1
1.7,5250.3,36180.7,0
3.4,1506.4,43570.6,1
5.3,3728.9,39727.4,1
0.1,5913.0,41424.3,0
6.1,411.8,43866.9,1
2.9,5156.0,32974.8,0
2.5,4294.7,32316.8,0
1.5,5425.5,37267.4,0
1.5,5690.8,24007.5,0
5.3,3555.9,48224.1,1
4.3,3110.8,49669.1,1
4.4,5974.3,28936.7,0
6.6,3682.4,39647.0,1
1.5,6973.5,41439.3,0
0.6,6310.8,31517.3,0
0.9,4063.8,43039.1,1
3.4,415.3,37412.2,1
2.3,631.2,43632.0,1
0.2,685.9,49530.9,1
3.3,2504.0,49743.1,1
1.9,4504.2,43671.1,1
1.2,4813.3,22300.8,0
2.0,2336.7,38048.3,1
6.5,4497.2,38734.0,1
2.7,3424.6,36540.0,1
0.4,1058.5,47651.1,1
3.1,6688.5,28309.7,0
7.3,568.8,37232.2,1
6.5,3188.4,45172.1,1
2.1,1165.9,49850.1,1
4.4,5305.5,33566.7,0
4.4,2248.4,36102.0,1
0.0,6233.1,33990.7,0
6.4,614.2,46742.4,1
0.9,1415.4,49972.7,1
6.1,563.8,48335.6,1
0.8,916.6,36885.5,1
5.2,4649.6,29811.4,0
4.1,5316.9,27890.0,0
0.4,5926.8,33028.9,0
2.2,6595.2,36729.0,0
6.1,4618.7,39253.3,1
3.4,6234.6,41411.4,0
5.0,6953.6,23009.3,0
3.5,3402.2,37849.3,1
5.0,2989.0,42474.5,1
0.2,3516.0,40202.0,1
7.2,4384.5,47368.7,1
7.0,1118.5,45973.5,1
3.5,5809.2,40851.6,0
2.8,4304.6,29557.9,0
4.7,6789.8,23139.0,0
1.8,4216.4,20698.2,0
3.5,6645.4,33132.3,0
6.7,3301.2,44990.7,1
5.1,4682.2,39488.8,0
4.5,6744.7,33667.2,0
4.2,6691.2,26832.9,0
3.1,4270.1,36582.9,1
0.6,2985.8,36993.0,1
5.7,4292.0,46296.4,1
4.3,4861.3,34717.7,0
6.9,4513.1,49609.4,1
3.4,4591.2,31620.6,0
3.0,4263.6,24876.0,0
5.3,4435.9,26382.4,0
4.6,5717.5,39647.3,0
5.6,3932.8,48585.1,1
0.7,857.7,44796.9,1
4.1,5106.1,32842.6,0
3.7,6352.2,33782.6,0
3.9,6352.0,20881.4,0
7.0,2787.7,40521.0,1
1.1,4290.7,47983.7,1
1.2,5913.6,33307.1,0
3.2,6344.0,25616.0,0
1.9,5478.1,22581.3,0
2.9,5432.7,32576.0,0
4.3,5523.8,37759.0,0
4.0,6705.1,34891.4,0
1.5,3705.5,47466.2,1
2.7,4930.1,29060.3,0
2.0,2162.0,49811.2,1
1.0,6222.0,22036.2,0
4.6,4513.0,24920.0,0
5.0,6033.8,20278.5,0
7.0,2213.2,49088.9,1
0.5,4350.3,25825.1,0
1.2,3883.7,36490.4,1
0.2,6966.1,41862.6,0
2.2,6590.3,32096.2,0
4.8,4426.2,36499.5,0
1.7,5964.5,35332.0,0
2.9,6943.3,21679.8,0
0.7,4507.5,28234.2,0
1.7,48.7,47971.1,1
6.9,983.2,43214.1,1
6.7,692.5,46329.8,1
2.7,5326.2,27520.8,0
3.0,4648.8,22906.5,0
0.1,5815.4,34697.4,0
2.5,5599.8,31261.8,0
4.6,6089.3,31159.5,0
5.3,433.8,45974.3,1
4.7,2660.4,40219.5,1
2.3,4623.5,41126.4,1
0.9,5221.9,36342.6,0
4.3,5577.1,27499.5,0
3.0,3361.4,44983.9,1
3.4,371.2,36399.3,1
3.9,1148.5,49082.4,1
0.1,6725.4,24779.2,0
0.8,4540.1,28657.3,0
3.1,4873.1,33468.7,0
5.2,1317.2,38179.8,1
1.9,3948.2,36155.9,1
2.4,6761.1,33934.4,0
2.5,5143.4,24778.3,0
4.5,3866.6,46496.5,1
3.9,5025.6,36514.9,0
2.4,3248.7,38875.8,1
0.7,4305.0,48270.3,1
4.2,5904.1,26638.8,0
1.3,6324.9,21140.1,0
6.5,2032.3,37735.5,1
5.3,6463.2,21993.6,0
0.5,1918.8,46461.5,1
1.2,2572.8,36956.2,1
0.8,6933.2,39601.6,0
0.3,5588.1,35242.3,0
6.7,1491.1,44817.2,1
4.5,5833.3,23681.9,0
0.4,6914.2,22140.6,0
4.2,4712.9,46568.2,1
5.7,2862.1,38388.9,1
4.5,6541.6,31105.1,0
2.9,3779.4,45648.8,1
2.8,5612.6,21940.0,0
0.6,3209.8,47187.7,1
0.4,3227.4,47173.2,1
2.8,1207.6,44895.9,1
0.2,5226.8,28159.9,0
5.5,4722.9,39882.4,0
2.9,1118.6,46678.8,1
4.8,1924.4,36860.7,1
6.8,1071.0,39152.0,1
7.2,86.0,45998.6,1
4.6,5960.6,31960.7,0
1.5,4642.9,42176.9,1
6.2,3060.9,45025.8,1
0.2,3129.2,42913.8,1
4.3,209.7,40161.5,1
4.1,4231.1,20342.5,0
4.1,6575.0,35226.5,0
1.2,6406.1,22234.1,0
5.3,4473.4,36954.8,1
1.3,5384.4,41429.0,0
4.0,6725.3,25059.3,0
1.2,2972.0,46818.0,1
0.2,3063.1,48952.9,1
5.4,4683.8,42324.2,1
3.4,4694.4,35417.6,0
6.8,1425.5,38391.3,1
3.8,1036.7,44519.1,1
0.9,4441.8,30028.7,0
1.8,1169.8,46991.6,1
6.5,2935.4,47895.7,1
4.5,287.9,47933.8,1
3.8,6825.8,41677.4,0
3.7,4821.3,32923.4,0
0.2,2415.0,43327.7,1
0.1,1832.1,42117.4,1
3.3,5915.8,33653.0,0
4.3,1751.9,49332.2,1
4.8,4255.5,31199.2,0
2.9,6646.7,29093.0,0
3.5,954.9,36013.2,1
5.4,6271.1,33896.3,0
3.5,5029.5,28156.9,0
2.7,6438.8,37252.5,0
2.1,1061.9,37936.9,1
0.6,6653.3,40045.7,0
7.3,4166.2,41119.1,1
1.1,4880.1,35634.7,0
6.6,3586.4,42379.0,1
3.1,2559.3,44588.1,1
1.3,863.0,38598.6,1
0.5,6506.3,26898.3,0
2.2,4890.1,31712.1,0
3.4,450.5,47176.7,1
2.6,740.1,49818.7,1
3.5,6139.7,25976.7,0
4.3,6410.0,40673.6,0
3.1,5974.0,34763.8,0
3.0,3792.9,39063.0,1
4.3,644.1,44008.8,1
6.9,1646.7,48867.9,1
1.6,5738.7,35739.2,0
3.0,4549.5,27080.5,0
4.5,317.6,39800.8,1
4.5,5425.3,27130.9,0
0.9,5747.4,39069.8,0
3.4,4474.8,35989.2,0
4.6,213.1,48444.3,1
3.7,4459.5,44394.2,1
1.8,2158.6,46937.0,1
5.1,3012.1,43143.1,1
4.8,5944.0,20325.5,0
0.6,1856.2,48097.5,1
4.7,4922.2,21927.1,0
3.2,1320.7,43556.9,1
4.7,5819.4,28474.8,0
5.4,1788.7,38163.2,1
1.4,5792.4,32647.7,0
4.3,3990.0,43762.8,1
1.4,6669.9,23608.9,0
4.2,3400.4,49093.1,1
3.6,1185.7,41366.8,1
2.9,3670.1,43398.8,1
1.0,2008.1,38965.4,1
2.3,5606.6,21230.8,0
1.0,867.2,38520.4,1
4.2,870.4,42664.9,1
6.9,3920.2,49639.5,1
2.9,5649.0,32788.0,0
7.0,2093.8,47292.3,1
1.9,6069.4,39045.7,0
5.6,1196.9,44830.1,1
1.4,5349.4,22708.5,0
2.0,3334.8,42076.1,1
5.6,3514.3,47514.9,1
5.0,2830.2,49280.6,1
0.1,6867.6,26408.5,0
4.6,3526.9,36843.0,1
3.1,6424.9,22004.2,0
3.5,6201.0,29345.9,0
0.3,80.5,43219.5,1
6.6,56.9,47247.2,1
7.0,2608.6,45357.7,1
6.5,2557.2,49021.7,1
0.3,6320.2,22392.4,0
7.0,4428.3,49281.7,1
3.2,2237.1,41910.0,1
1.7,4818.7,25522.8,0
6.6,2072.3,41149.8,1
1.5,6975.7,36770.8,0
4.1,5500.9,41661.3,0
0.5,4772.4,45479.0,1
4.2,2033.9,43301.0,1
4.9,6327.4,22171.6,0
0.1,1075.2,38116.0,1
6.3,4290.1,46185.7,1
0.5,5446.8,34561.8,0
7.4,1289.7,43517.4,1
1.2,6301.0,24225.8,0
2.7,6618.0,25636.5,0
2.2,2275.8,43651.5,1
0.1,4420.6,41023.5,1
4.5,5191.4,38131.4,0
3.2,3964.3,47179.2,1
5.1,6864.4,22876.6,0
5.9,124.6,40878.8,1
1.8,2488.9,39110.2,1
2.9,1570.6,40431.3,1
2.2,3985.0,40846.1,1
5.2,6961.4,37747.7,0
5.8,1663.0,39437.1,1
3.5,4397.3,25443.6,0
3.6,5434.3,23327.7,0
0.5,5673.8,25740.2,0
4.2,3521.2,45612.3,1
0.4,3435.3,37684.8,1
4.8,5045.1,34585.3,0
3.6,3957.1,38541.9,1
1.2,6295.3,33446.7,0
0.6,835.3,48386.7,1
5.0,2231.1,46137.1,1
2.1,900.3,48832.9,1
1.9,2699.8,45112.8,1
7.3,54.2,47111.6,1
0.1,5634.9,27410.0,0
1.3,2531.8,43367.3,1
2.6,6160.7,38316.3,0
3.3,4952.7,35356.1,0
5.4,6155.7,24132.0,0
3.5,3674.0,43457.1,1
5.2,4907.5,27463.7,0
1.0,3829.2,46907.7,1
4.3,4922.4,28352.2,0
0.3,5884.4,32801.8,0
1.1,4500.0,41391.2,0
6.0,3075.4,39147.9,1
1.3,1110.5,36862.5,1
3.4,5827.4,32745.0,0
3.6,5022.8,22281.5,0
3.9,5167.9,41896.2,0
6.9,622.7,44800.9,1
1.9,2845.7,39723.4,1
7.5,2219.8,43949.4,1
4.9,4991.1,39420.1,0
1.0,5554.9,22780.6,0
1.2,5651.3,31270.7,0
4.5,5643.4,38779.7,0
2.4,5759.6,33232.6,0
3.7,6227.0,29765.9,0
3.7,4679.9,48872.3,1
4.4,1607.0,42608.2,1
5.0,697.0,49625.9,1
2.7,5183.0,28163.6,0
2.4,2321.3,39112.8,1
3.0,3346.3,40808.7,1
2.0,4753.4,31153.9,0
1.0,6427.7,33020.7,0
0.1,6630.8,40938.9,0
3.3,5421.4,30235.3,0
3.6,5311.0,35314.5,0
5.7,4417.9,45755.1,1
1.9,5796.5,40426.9,0
4.0,188.5,47773.2,1
2.0,444.7,37630.3,1
0.8,2196.6,40958.6,1
3.0,1349.5,36514.6,1
1.2,1431.9,37950.8,1
1.0,4686.1,41479.7,0
3.9,4225.0,41268.9,1
6.5,3363.9,46796.7,1
2.2,2603.1,43899.2,1
4.0,4659.6,33281.3,0
4.5,3481.5,42453.0,1
2.5,6836.4,39408.8,0
1.1,4672.7,32744.8,0
5.8,2644.4,49789.5,1
0.2,231.7,43451.0,1
5.4,4924.1,38666.6,0
4.0,5464.2,35329.4,0
4.5,5187.1,40051.2,0
5.7,4508.0,40662.4,1
0.5,6570.8,32948.0,0
2.8,5229.1,41773.4,0
2.3,2472.3,43082.2,1
0.3,5172.9,40639.5,0
5.4,6642.4,38872.9,0
3.2,4209.7,36207.1,0
0.8,5809.8,30740.8,0
6.5,1340.7,44305.9,1
4.5,4206.3,35598.0,0
5.0,5528.7,37737.5,0
0.9,5122.6,33045.6,0
3.3,3890.1,38909.4,1
4.9,1023.9,38197.4,1
1.8,4311.5,37545.6,1
2.4,3448.1,46183.3,1
2.4,5117.6,24796.9,0
1.4,4783.5,29864.8,0
3.1,5192.3,36661.0,0
5.2,5334.9,29892.4,0
1.4,4473.0,29115.3,0
1.3,5854.0,36681.8,0
4.1,3299.7,44432.5,1
